id;F1;CodF1;F2a;F2b;F3_1;F4;F5;F6;F7;F8;A1;A2_1;A2_2;A2_3;A2_4;A3a_1;A3a_2;A4_1;A4_2;A4_3;A4_4;A4_5;A4_6;A4_7;A4_8;A4_9;A4_10;A4_11;A4_12;A4_13;A5;A6_1;A6_2;A6_3;A6_4;A6_5;A6_6;A6_7;A6_8;A6_9;A6_10;A6_11;A7_1;A7_2;A7_3;A7_4;A7_5;A7_6;A7_7;A7_8;A7_9;A7_10;A7_11;B1_1;B1_2;B1_3;B1_4;B1_5;B1_6;B1_7;B1_8;B1_9;B1_10;B1_11;B2_1;B2_2;B2_3;B3_1;B3_2;B3_3;B3_4;B3_5;B3_6;B4_1;B4_2;B4_3;B4_4
2223;17;2;2;2;Aretxabaleta;6;2;2;1;1;1;0;1;1;0;Brawl stars;Fornite;4;4;4;2;4;4;1;4;4;5;3;4;3;1;4;3;3;1;2;2;4;4;4;2;2;3;5;4;5;2;5;4;5;2;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
2218;19;2;2;2;Pamplona;6;5;3;1;1;2;0;0;1;1;Parchís;Sudoku;4;4;2;1;1;2;1;1;1;2;2;4;5;1;4;2;1;1;1;1;1;1;1;1;1;1;5;4;4;1;1;1;4;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
2216;19;2;2;2;Irura;6;2;3;1;1;1;0;0;1;0;Ajedrez en línea;Roblox;4;4;2;3;5;4;1;1;1;4;5;4;3;1;3;4;2;5;2;5;2;3;4;1;1;4;5;3;3;4;5;1;3;1;3;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
2212;19;2;2;2;Albacete;2;5;3;1;1;2;0;0;1;0;A Class royal;hay day;4;3;2;4;2;4;1;1;1;4;2;1;3;1;4;1;1;1;1;1;1;1;1;1;1;1;4;4;4;2;4;2;4;4;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
2209;18;2;1;1;Villanueva del duque;3;2;3;1;1;4;0;1;0;0;Rocket league;clash royale;2;5;2;1;2;5;4;5;2;4;5;5;4;4;4;3;1;1;1;4;4;5;4;1;1;1;4;2;5;4;5;5;5;4;3;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
2208;18;2;2;2;valencia;2;5;3;1;1;1;0;1;1;0;star wars lego;2k lego;3;3;2;2;2;4;4;5;5;4;5;4;4;5;5;5;5;4;5;4;5;3;4;5;4;4;4;3;4;5;5;4;5;3;5;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
2203;18;2;1;1;Córdoba;3;5;3;3;1;4;1;0;1;0;Brawl stars;call of duty;5;4;5;4;4;2;2;1;2;5;4;3;4;4;5;4;2;4;2;4;5;5;5;3;5;1;5;4;5;5;5;4;1;4;5;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
2202;19;2;1;1;Colindres;6;2;3;1;1;2;0;1;0;0;Fornite;2k drive;4;4;3;3;5;2;1;1;1;5;3;5;5;1;3;4;4;1;4;1;1;3;5;1;3;3;4;5;4;4;5;5;3;5;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
2183;19;2;2;2;Guipúzcoa;6;4;3;1;1;2;1;0;1;1;Sudoku;Mario Kart;4;3;4;4;5;3;3;1;3;4;2;4;3;3;1;4;1;1;4;1;4;3;3;1;2;1;5;3;4;4;4;3;1;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
2180;18;2;2;2;Bilbao;6;5;2;1;1;4;0;0;1;0;Brawl Stars;Bingo;4;4;4;2;4;4;1;1;1;5;5;4;5;1;5;3;1;1;1;1;1;3;4;1;1;1;5;5;3;1;5;3;1;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
